Tarih,Saat,Ihlal_Turu
2025-12-14,06:27:45,YORGUNLUK (UYUMA)
2025-12-14,06:27:45,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:45,YORGUNLUK (UYUMA)
2025-12-14,06:27:45,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:45,YORGUNLUK (UYUMA)
2025-12-14,06:27:45,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:45,YORGUNLUK (UYUMA)
2025-12-14,06:27:45,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:45,YORGUNLUK (UYUMA)
2025-12-14,06:27:45,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:45,YORGUNLUK (UYUMA)
2025-12-14,06:27:45,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:45,YORGUNLUK (UYUMA)
2025-12-14,06:27:45,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:45,YORGUNLUK (UYUMA)
2025-12-14,06:27:45,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
2025-12-14,06:27:46,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:46,YORGUNLUK (UYUMA)
